Timestamp,Cpacidad disponible, Capacidad utilizada,% Memoria utilizada 
19:06:49,2650532,1387644,34.36314
19:06:54,2650532,1387644,34.36314
19:06:59,2650532,1387644,34.36314
19:07:04,2650532,1387644,34.36314
19:07:09,2650532,1387644,34.36314
19:07:14,2650532,1387644,34.36314
19:07:19,2650532,1387644,34.36314
19:07:24,2650532,1387644,34.36314
19:07:29,2650532,1387644,34.36314
19:07:34,2650532,1387644,34.36314
19:07:39,2650532,1387644,34.36314
19:07:44,2650532,1387644,34.36314
19:07:49,2650408,1387768,34.366207
19:07:54,2650408,1387768,34.366207
19:07:59,2650408,1387768,34.366207
19:08:04,2650532,1387644,34.36314
19:08:09,2650532,1387644,34.36314
19:08:14,2650532,1387644,34.36314
19:08:19,2650532,1387644,34.36314
19:08:24,2650532,1387644,34.36314
19:08:29,2650532,1387644,34.36314
19:08:34,2650532,1387644,34.36314
19:08:39,2650532,1387644,34.36314
19:08:44,2650532,1387644,34.36314
19:08:49,2650532,1387644,34.36314
19:08:54,2650532,1387644,34.36314
19:08:59,2650532,1387644,34.36314
19:09:04,2650532,1387644,34.36314
19:09:09,2650532,1387644,34.36314
19:09:14,2650532,1387644,34.36314
19:09:19,2650532,1387644,34.36314
19:09:24,2650532,1387644,34.36314
19:09:29,2650532,1387644,34.36314
19:09:34,2650532,1387644,34.36314
19:09:39,2650532,1387644,34.36314
19:09:44,2650532,1387644,34.36314
19:09:49,2650532,1387644,34.36314
19:09:54,2650532,1387644,34.36314
19:09:59,2650532,1387644,34.36314
19:10:04,2650532,1387644,34.36314
19:10:09,2650532,1387644,34.36314
19:10:14,2650532,1387644,34.36314
19:10:19,2650532,1387644,34.36314
19:10:24,2650532,1387644,34.36314
19:10:29,2650532,1387644,34.36314
19:10:34,2650532,1387644,34.36314
19:10:39,2650408,1387768,34.366207
19:10:44,2650408,1387768,34.366207
19:10:49,2650408,1387768,34.366207
19:10:54,2650408,1387768,34.366207
19:10:59,2650408,1387768,34.366207
19:11:04,2650284,1387892,34.36928
19:11:09,2650284,1387892,34.36928
19:11:14,2650284,1387892,34.36928
19:11:19,2650284,1387892,34.36928
19:11:24,2650284,1387892,34.36928
19:11:29,2650284,1387892,34.36928
19:11:34,2650284,1387892,34.36928
19:11:39,2650284,1387892,34.36928
19:11:44,2650284,1387892,34.36928
19:11:49,2650284,1387892,34.36928
19:11:54,2650284,1387892,34.36928
19:11:59,2650284,1387892,34.36928
19:12:04,2650408,1387768,34.366207
19:12:09,2650408,1387768,34.366207
19:12:14,2650408,1387768,34.366207
19:12:19,2650408,1387768,34.366207
19:12:24,2650408,1387768,34.366207
19:12:29,2650408,1387768,34.366207
19:12:34,2650408,1387768,34.366207
19:12:39,2650408,1387768,34.366207
19:12:44,2650408,1387768,34.366207
19:12:49,2650408,1387768,34.366207
19:12:54,2650408,1387768,34.366207
19:12:59,2650408,1387768,34.366207
19:13:04,2650408,1387768,34.366207
19:13:09,2650408,1387768,34.366207
19:13:14,2650408,1387768,34.366207
19:13:19,2650408,1387768,34.366207
19:13:24,2650408,1387768,34.366207
19:13:29,2650408,1387768,34.366207
19:13:34,2650408,1387768,34.366207
19:13:39,2650408,1387768,34.366207
19:13:44,2650408,1387768,34.366207
19:13:49,2650408,1387768,34.366207
19:13:54,2650408,1387768,34.366207
19:13:59,2650408,1387768,34.366207
19:14:04,2650160,1388016,34.37235
19:14:09,2650160,1388016,34.37235
19:14:14,2650160,1388016,34.37235
19:14:19,2650160,1388016,34.37235
19:14:24,2649912,1388264,34.378494
19:14:29,2649912,1388264,34.378494
19:14:34,2649912,1388264,34.378494
19:14:39,2649912,1388264,34.378494
19:14:44,2649912,1388264,34.378494
19:14:49,2649912,1388264,34.378494
19:14:54,2649912,1388264,34.378494
19:14:59,2649912,1388264,34.378494
19:15:04,2649664,1388512,34.384632
19:15:09,2649664,1388512,34.384632
19:15:14,2649664,1388512,34.384632
19:15:19,2649664,1388512,34.384632
19:15:24,2649664,1388512,34.384632
19:15:29,2649664,1388512,34.384632
19:15:34,2649788,1388388,34.38156
19:15:39,2649912,1388264,34.378494
19:15:44,2649912,1388264,34.378494
19:15:49,2649912,1388264,34.378494
19:15:54,2649912,1388264,34.378494
19:15:59,2649912,1388264,34.378494
19:16:04,2650036,1388140,34.37542
19:16:09,2650036,1388140,34.37542
19:16:14,2650036,1388140,34.37542
19:16:19,2650036,1388140,34.37542
19:16:24,2650036,1388140,34.37542
19:16:29,2650036,1388140,34.37542
19:16:35,2650036,1388140,34.37542
19:16:40,2650036,1388140,34.37542
19:16:45,2650036,1388140,34.37542
19:16:50,2650036,1388140,34.37542
19:16:55,2650036,1388140,34.37542
19:17:00,2650036,1388140,34.37542
19:17:05,2649532,1388644,34.3879
19:17:10,2649416,1388760,34.390774
19:17:15,2649416,1388760,34.390774
19:17:20,2649416,1388760,34.390774
19:17:25,2649416,1388760,34.390774
19:17:30,2649416,1388760,34.390774
